=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.07.16 14:43:26 =~=~=~=~=~=~=~=~=~=~=~=
OLA
Pos velocidade
22.472 -0.0142857
21.641 0.0142857
21.697 0.0000000
23.544 -0.0285714
22.059 0.0142857
23.960 -0.0142857
22.948 0.0142857
23.481 -0.0142857
23.846 0.0000000
24.556 -0.0142857
25.332 -0.0142857
25.684 0.0000000
25.212 0.0000000
26.046 -0.0142857
25.985 0.0142857
26.336 -0.0142857
26.639 0.0000000
26.460 0.0000000
27.241 -0.0142857
27.895 0.0000000
27.348 0.0000000
28.541 -0.0142857
28.781 0.0000000
28.608 0.0000000
29.380 -0.0142857
29.025 0.0000000
29.023 0.0000000
29.383 0.0000000
28.844 0.0142857
28.733 0.0000000
29.020 -0.0142857
28.373 0.0142857
28.198 0.0000000
28.421 0.0000000
27.591 0.0142857
27.416 0.0000000
27.055 0.0000000
27.356 0.0000000
27.179 0.0000000
27.057 0.0000000
26.940 0.0142857
27.233 -0.0142857
26.752 0.0142857
27.175 -0.0142857
26.759 0.0142857
26.814 0.0000000
26.403 0.0000000
26.468 0.0000000
26.942 0.0000000
26.998 0.0000000
27.416 -0.0142857
26.525 0.0142857
26.940 0.0000000
26.938 0.0000000
26.517 0.0000000
27.414 -0.0142857
27.417 0.0000000
26.523 0.0142857
27.403 -0.0142857
27.404 0.0000000
26.524 0.0142857
27.405 -0.0142857
27.411 0.0000000
27.414 0.0000000
27.409 0.0000000
27.417 0.0000000
26.520 0.0142857
27.411 -0.0142857
27.411 0.0000000
27.413 0.0000000
26.522 0.0142857
27.415 -0.0142857
27.412 0.0000000
27.409 0.0000000
27.413 0.0000000
26.529 0.0142857
26.815 0.0000000
27.055 -0.0142857
26.457 0.0142857
26.284 0.0000000
26.165 0.0000000
26.046 0.0000000
25.984 0.0142857
25.921 0.0000000
25.861 0.0000000
26.290 -0.0142857
26.283 0.0000000
25.864 0.0142857
26.761 -0.0142857
26.346 0.0000000
25.931 0.0142857
26.818 -0.0142857
26.398 0.0000000
25.564 0.0142857
26.222 -0.0142857
25.148 0.0142857
25.447 0.0000000
26.166 -0.0142857
25.152 0.0142857
25.506 0.0000000
25.385 0.0000000
25.268 0.0000000
25.269 0.0000000
25.275 0.0000000
25.751 0.0000000
